trial,checkpoint,train_seed,saliency_method,loss_name,combo_name,val_acc_for_optim,val_saliency_loss,optim_value,test_acc,per_group,worst_group
0,/home/ryreu/guided_cnn/logsRedMeat/guided_redmeat_optim_grid_21069332/checkpoints/resnet50_redmeat_final_kl5_attn127_20260227_053107.pth,0,smoothgrad_x_input,bce_dice,smoothgrad_x_input__bce_dice,0.5936,0.7776561285018921,-1.2992057156308585,64.8,64.8,33.6
1,/home/ryreu/guided_cnn/logsRedMeat/guided_redmeat_optim_grid_21069332/checkpoints/resnet50_redmeat_final_kl290_attn95_20260227_055621.pth,0,ig,fwd_kl,ig__fwd_kl,0.56,1.3900463928222657,-1.9698648880752079,60.88,60.87999999999999,15.6
1,/home/ryreu/guided_cnn/logsRedMeat/guided_redmeat_optim_grid_21069332/checkpoints/resnet50_redmeat_final_kl290_attn95_20260227_055621.pth,0,ig,rev_kl,ig__rev_kl,0.56,9.726694992065429,-10.306513487318371,60.88,60.87999999999999,15.6
1,/home/ryreu/guided_cnn/logsRedMeat/guided_redmeat_optim_grid_21069332/checkpoints/resnet50_redmeat_final_kl290_attn95_20260227_055621.pth,0,ig,jsd,ig__jsd,0.56,0.32594535331726077,-0.9057638485702029,60.88,60.87999999999999,15.6
1,/home/ryreu/guided_cnn/logsRedMeat/guided_redmeat_optim_grid_21069332/checkpoints/resnet50_redmeat_final_kl290_attn95_20260227_055621.pth,0,ig,bce_dice,ig__bce_dice,0.56,0.9302258268356324,-1.5100443220885744,60.88,60.87999999999999,15.6
1,/home/ryreu/guided_cnn/logsRedMeat/guided_redmeat_optim_grid_21069332/checkpoints/resnet50_redmeat_final_kl290_attn95_20260227_055621.pth,0,grad_abs,fwd_kl,grad_abs__fwd_kl,0.56,1.3230284980773925,-1.9028469933303347,60.88,60.87999999999999,15.6
1,/home/ryreu/guided_cnn/logsRedMeat/guided_redmeat_optim_grid_21069332/checkpoints/resnet50_redmeat_final_kl290_attn95_20260227_055621.pth,0,grad_abs,rev_kl,grad_abs__rev_kl,0.56,9.456400708007813,-10.036219203260755,60.88,60.87999999999999,15.6
1,/home/ryreu/guided_cnn/logsRedMeat/guided_redmeat_optim_grid_21069332/checkpoints/resnet50_redmeat_final_kl290_attn95_20260227_055621.pth,0,grad_abs,jsd,grad_abs__jsd,0.56,0.3164274835586548,-0.8962459788115968,60.88,60.87999999999999,15.6
1,/home/ryreu/guided_cnn/logsRedMeat/guided_redmeat_optim_grid_21069332/checkpoints/resnet50_redmeat_final_kl290_attn95_20260227_055621.pth,0,grad_abs,bce_dice,grad_abs__bce_dice,0.56,0.9168289779663086,-1.4966474732192507,60.88,60.87999999999999,15.6
1,/home/ryreu/guided_cnn/logsRedMeat/guided_redmeat_optim_grid_21069332/checkpoints/resnet50_redmeat_final_kl290_attn95_20260227_055621.pth,0,grad_x_input,fwd_kl,grad_x_input__fwd_kl,0.56,1.4453167039871215,-2.0251351992400637,60.88,60.87999999999999,15.6
1,/home/ryreu/guided_cnn/logsRedMeat/guided_redmeat_optim_grid_21069332/checkpoints/resnet50_redmeat_final_kl290_attn95_20260227_055621.pth,0,grad_x_input,rev_kl,grad_x_input__rev_kl,0.56,9.638817974853515,-10.218636470106457,60.88,60.87999999999999,15.6
