name,status,seconds,log
gals95_rn50,PASS,234,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/gals95_rn50.log
gals100_rn50,PASS,171,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/gals100_rn50.log
rrr95_vit,PASS,187,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/rrr95_vit.log
rrr100_vit,PASS,170,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/rrr100_vit.log
gradcam95_vit,PASS,112,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/gradcam95_vit.log
gradcam100_vit,PASS,112,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/gradcam100_vit.log
abn95_vit,PASS,137,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/abn95_vit.log
abn100_vit,PASS,130,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/abn100_vit.log
gals95_vit,PASS,151,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/gals95_vit.log
gals100_vit,PASS,155,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/gals100_vit.log
gals95_ourmasks,PASS,150,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/gals95_ourmasks.log
gals100_ourmasks,PASS,151,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/gals100_ourmasks.log
upweight95,PASS,105,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/upweight95.log
upweight100,PASS,107,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/upweight100.log
abn95_baseline,PASS,147,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/abn95_baseline.log
abn100_baseline,PASS,123,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/abn100_baseline.log
guided95_galsvit,FAIL,1,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/guided95_galsvit.log
guided100_galsvit,FAIL,2,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/guided100_galsvit.log
clip_lr95,FAIL,43,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/clip_lr95.log
clip_lr100,FAIL,32,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/clip_lr100.log
vanilla95,PASS,25,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/vanilla95.log
vanilla100,PASS,24,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21048936/vanilla100.log
