trial,attention_epoch,kl_lambda,kl_incr,base_lr,classifier_lr,lr2_mult,best_balanced_val_acc,test_acc,per_group,worst_group,checkpoint,sampler,seconds
0,186,1.7622665641537227,0.17622665641537227,2.775289836362614e-05,2.6031862394241463e-05,2.226680590880573,0.8180862123153543,85.10528132550915,83.1345366129957,64.95327102803739,,tpe,2369
1,189,494.3745097177126,49.43745097177126,7.86163732770925e-05,0.0001027897741859621,1.2655986544235325,0.8312521657842356,85.41594753192959,84.72680992740258,72.8159645232816,,tpe,2294
2,80,479.2168826280344,47.92168826280344,7.769226220327611e-06,0.002582117503749113,0.9361993527254285,0.8548158982665668,89.5063859164653,85.93373327531066,71.65109034267913,,tpe,2306
3,148,11.350495492979736,1.1350495492979735,4.2708857948810405e-06,5.500019576592157e-05,2.782777119877277,0.8148385433035966,86.45150155333103,82.27231282508237,58.09968847352025,,tpe,2278
4,52,106.73479647658294,10.673479647658295,6.111811172793964e-05,5.778497849502432e-05,1.5110955130549841,0.8408984680350393,86.7103900586814,84.88979146376,69.62616822429906,,tpe,2310
5,178,337.20171312234055,33.72017131223406,1.1260844430499e-06,0.002392435090990469,1.4307295837129435,0.8473696298624374,85.89920607525026,85.51075491638518,79.2834890965732,,tpe,2285
6,71,70.78165962502733,7.078165962502734,1.1316920200122775e-05,0.004284088664921854,0.38943564646828505,0.8553759801432843,88.43631342768381,85.69204122372575,71.65109034267913,,tpe,2278
7,48,35.74288921227714,3.5742889212277142,0.0005222962181542639,0.0026850944275080145,1.5074505071058864,0.8631828768061633,87.7114256127028,86.84196075180802,75.23364485981308,,tpe,2285
8,21,370.5437261677569,37.054372616775694,1.2009376351439154e-05,0.00036509164899163447,0.544286990242765,0.8502969642756408,86.67587159130134,84.25482313446754,69.78193146417445,,tpe,2279
9,149,4.76377233029846,0.476377233029846,2.0849524934634274e-05,0.00047157514030729937,0.41948888503931875,0.8639827059610441,88.10838798757335,86.7069889687852,74.14330218068535,,tpe,2290
10,122,3.6027184946151194,0.360271849461512,0.00022810919216247278,0.0004773775133794562,0.12733775763201596,0.8661263286834449,88.05661028650329,86.95227289995925,75.38940809968847,,tpe,2331
11,122,2.8418864838100517,0.28418864838100516,0.00036376344667329635,0.0003583744318123957,0.11103923635075523,0.8607511544133646,88.0048325854332,86.38978110256889,73.05295950155764,,tpe,2293
