trial,name,method,seed,base_lr,classifier_lr,grad_weight,cam_weight,abn_cls_weight,abn_att_weight,weight_decay,best_balanced_val_acc,test_acc,balanced_test_acc,per_group,worst_group,checkpoint,log_path,seconds,sampler,run_dir
0,gals_waterbird_complete95_forest2water2_21049294_trial_000,gals,0,1.513307562870071e-05,0.00023725573960318522,6805.455461937914,,,,7.483620928342779e-06,0.7976895615243897,83.6382464618571,81.7186625774499,81.7186625774499,62.149532710280376,trained_weights/waterbirds/gals_waterbird_complete95_forest2water2_21049294_trial_000/best_balanced_valacc_0.8_epoch_178.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals95_sweep_vit_logs_21049294/gals_waterbird_complete95_forest2water2_21049294_trial_000.log,12011,tpe,trained_weights/waterbirds/gals_waterbird_complete95_forest2water2_21049294_trial_000
1,gals_waterbird_complete95_forest2water2_21049294_trial_001,gals,0,5.780895302576203e-06,2.3950003367500844e-05,4159.791999574375,,,,5.186383174713147e-05,0.7072403678005302,76.95892302381773,71.10526279434417,71.10526279434417,29.750778816199375,trained_weights/waterbirds/gals_waterbird_complete95_forest2water2_21049294_trial_001/best_balanced_valacc_0.71_epoch_199.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals95_sweep_vit_logs_21049294/gals_waterbird_complete95_forest2water2_21049294_trial_001.log,11976,tpe,trained_weights/waterbirds/gals_waterbird_complete95_forest2water2_21049294_trial_001
2,gals_waterbird_complete95_forest2water2_21049294_trial_002,gals,0,0.00038454159193335375,5.5387195233445875e-05,22140.772350848783,,,,1.4024673290331502e-06,0.8433221316957991,85.70935450466,85.08240600672787,85.08240600672787,72.58566978193146,trained_weights/waterbirds/gals_waterbird_complete95_forest2water2_21049294_trial_002/best_balanced_valacc_0.84_epoch_175.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals95_sweep_vit_logs_21049294/gals_waterbird_complete95_forest2water2_21049294_trial_002.log,11972,tpe,trained_weights/waterbirds/gals_waterbird_complete95_forest2water2_21049294_trial_002
3,gals_waterbird_complete95_forest2water2_21049294_trial_003,gals,0,0.00025717099943644266,0.00010080114936974075,6684.3745532686835,,,,8.01235846451028e-05,0.8237414275237934,83.77632033137729,83.08865380497475,83.08865380497475,68.38006230529595,trained_weights/waterbirds/gals_waterbird_complete95_forest2water2_21049294_trial_003/best_balanced_valacc_0.82_epoch_175.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals95_sweep_vit_logs_21049294/gals_waterbird_complete95_forest2water2_21049294_trial_003.log,11967,tpe,trained_weights/waterbirds/gals_waterbird_complete95_forest2water2_21049294_trial_003
4,gals_waterbird_complete95_forest2water2_21049294_trial_004,gals,0,1.0051011382890515e-05,0.0006053080009879853,3906.304731785606,,,,1.7748968336721236e-05,0.8044085293619903,83.12046945115637,81.21894232961021,81.21894232961021,61.52647975077882,trained_weights/waterbirds/gals_waterbird_complete95_forest2water2_21049294_trial_004/best_balanced_valacc_0.8_epoch_187.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals95_sweep_vit_logs_21049294/gals_waterbird_complete95_forest2water2_21049294_trial_004.log,11983,tpe,trained_weights/waterbirds/gals_waterbird_complete95_forest2water2_21049294_trial_004
5,gals_waterbird_complete95_forest2water2_21049294_trial_005,gals,0,2.3723965883018017e-05,0.0006533603710815046,14.45179915122334,,,,7.361416929288709e-05,0.8033367180007898,82.77528477735588,81.16433885239447,81.16433885239447,62.30529595015576,trained_weights/waterbirds/gals_waterbird_complete95_forest2water2_21049294_trial_005/best_balanced_valacc_0.8_epoch_175.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals95_sweep_vit_logs_21049294/gals_waterbird_complete95_forest2water2_21049294_trial_005.log,11988,tpe,trained_weights/waterbirds/gals_waterbird_complete95_forest2water2_21049294_trial_005
6,gals_waterbird_complete95_forest2water2_21049294_trial_006,gals,0,7.201846633436171e-05,3.6070040897394926e-05,2202.433437636223,,,,2.0632261163882573e-06,0.801193095278389,82.53365550569555,81.28767156405634,81.28767156405634,63.084112149532714,trained_weights/waterbirds/gals_waterbird_complete95_forest2water2_21049294_trial_006/best_balanced_valacc_0.8_epoch_187.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals95_sweep_vit_logs_21049294/gals_waterbird_complete95_forest2water2_21049294_trial_006.log,11975,tpe,trained_weights/waterbirds/gals_waterbird_complete95_forest2water2_21049294_trial_006
7,gals_waterbird_complete95_forest2water2_21049294_trial_007,gals,0,1.3622513673015661e-06,0.00010219637560899842,7269.543951052196,,,,0.0001230713083849858,0.7472499576916568,78.20158784949949,74.04827278943988,74.04827278943988,41.1214953271028,trained_weights/waterbirds/gals_waterbird_complete95_forest2water2_21049294_trial_007/best_balanced_valacc_0.75_epoch_195.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals95_sweep_vit_logs_21049294/gals_waterbird_complete95_forest2water2_21049294_trial_007.log,11970,tpe,trained_weights/waterbirds/gals_waterbird_complete95_forest2water2_21049294_trial_007
