trial,attention_epoch,kl_lambda,kl_incr,base_lr,classifier_lr,lr2_mult,best_balanced_val_acc,test_acc,per_group,worst_group,checkpoint,sampler,seconds
0,120,401.30287186413875,40.13028718641388,9.137539071798145e-06,3.7318654057875864e-05,0.3528810120697808,0.8508364461259759,82.77528477735588,83.75479205089417,67.93791574279379,NONE,tpe,3075
1,165,2.278685119053476,0.2278685119053476,5.633433323497585e-06,5.586827687765597e-05,0.7347240879439974,0.7587412026868878,76.18225750776665,75.06306511663247,51.4018691588785,NONE,tpe,3044
2,153,61.946306215987505,6.194630621598751,2.893740358436098e-06,0.0001755334088680453,1.5384817796179322,0.8192041938535037,82.08491542975491,81.25011224623717,66.1993769470405,NONE,tpe,3004
3,3,14.600432149435091,1.4600432149435092,0.0009239521251880961,0.008013939432356938,2.157452102416915,0.7505691200282156,81.73973075595444,74.84472028237698,34.42367601246106,NONE,tpe,3024
4,60,257.24267358053044,25.724267358053044,2.2340560878554985e-05,3.173588573055908e-05,0.5562999484066922,0.8491110505474775,84.17328270624785,84.06785544066146,70.59866962305986,NONE,tpe,3034
5,99,47.1604207206391,4.71604207206391,3.585858545250997e-05,0.009479513699733733,0.32710676180483667,0.8475840454013499,84.72557818432861,83.39201221239061,69.31464174454828,NONE,tpe,3010
6,78,4.332304278887921,0.4332304278887922,1.2898705466195682e-05,0.0009622988919324699,0.2562905211063906,0.7609174856116838,76.87262685536763,75.31154374840266,51.09034267912772,NONE,tpe,3075
7,19,7.368794561162896,0.7368794561162897,0.00018223308027848106,0.001603860303089561,2.1001864604172518,0.8053549385190053,78.23610631687953,80.8390492571026,54.27937915742794,NONE,tpe,3009
8,164,67.27674223060211,6.727674223060212,5.1611411923298625e-06,2.8177882894318776e-05,0.26581343821162695,0.8017358160860573,79.40973420780118,79.33672835029115,60.97560975609756,NONE,tpe,3080
9,19,6.381963366183507,0.6381963366183507,5.567870113765821e-06,0.00017662334498426305,0.14571776896656255,0.7262332269907177,74.61166724197446,70.90665602917711,36.915887850467286,NONE,tpe,3041
10,127,481.5051159311442,48.15051159311442,8.668960713046021e-05,1.0301849619783089e-05,0.11789312105849367,0.7874897798868172,75.88885053503624,77.57646559048428,50.509977827051,NONE,tpe,3062
11,63,480.3257268786535,48.032572687865354,1.0148141929539019e-06,4.1174350719048004e-05,0.7138845742854015,0.8354601856453501,79.03003106662064,82.63032651566958,76.09756097560975,NONE,tpe,3121
12,197,194.48221447699123,19.448221447699126,2.651168447799957e-05,2.066791032504388e-05,0.4547642667754731,0.806881943665133,77.20055229547808,81.48301455401979,50.99778270509978,NONE,tpe,3114
13,57,130.3932346027774,13.03932346027774,2.0118097615315705e-05,8.910597197938742e-05,1.0512152934722565,0.8605575773121503,88.59164653089402,84.70550041099392,65.42056074766354,NONE,tpe,3057
14,119,115.57904792357213,11.557904792357213,8.019577562164037e-05,0.00011111532361429717,1.09274820521748,0.8313320614970261,81.48084225060407,83.67537352093997,62.3059866962306,NONE,tpe,3111
15,41,27.072735982606215,2.7072735982606217,1.3107404745702352e-05,0.00044977144477661985,1.1409215143892724,0.8051545441428731,82.36106316879531,79.36627501364222,56.54205607476636,NONE,tpe,3112
16,95,183.62158577786474,18.362158577786474,1.413079603525603e-06,7.284442577149703e-05,0.18746349251356678,0.7869807781714414,78.70210562651019,79.18858058589082,60.17738359201774,NONE,tpe,3049
17,133,111.53446905744966,11.153446905744966,0.00039571140285613043,0.0004160239389435945,0.40756676981297385,0.8066254388636838,81.22195374525371,80.08299314089147,62.46105919003115,NONE,tpe,3124
18,49,306.74745757028677,30.674745757028678,5.4763519798648044e-05,1.1802025712000083e-05,1.0556371851018636,0.8261859339179505,84.79461511908872,83.65919279413694,70.56074766355141,NONE,tpe,3046
19,75,27.117652229700123,2.7117652229700124,1.3225285419491101e-05,8.57611163328891e-05,2.9159102096430094,0.8183264664860446,84.50120814635831,80.2396198133604,54.67289719626168,NONE,tpe,3117
20,111,113.50153098237494,11.350153098237495,2.7394148501205115e-06,0.0010264846474865776,0.6847063361094955,0.8347227343411835,84.44943044528823,83.52102631051798,72.42990654205607,NONE,tpe,3115
21,43,249.68664020982717,24.968664020982718,2.2680026572312587e-05,2.624217126693575e-05,0.5784511274574091,0.8501290539782291,84.15602347255782,84.02891463069261,71.21951219512195,NONE,tpe,3048
22,37,292.1067215882355,29.21067215882355,9.470255773509422e-06,1.9179462968054525e-05,0.48749727169685175,0.8525037273353961,83.58646876078703,83.96945866230115,74.27937915742794,NONE,tpe,3111
23,84,1.0605164836863974,0.10605164836863974,1.053978509583566e-05,1.5988511896571067e-05,0.3226156666503098,0.7685204482421405,78.94373489817052,75.10993223781006,44.704049844236756,NONE,tpe,3061
24,32,473.40140197703107,47.34014019770311,6.793085523567143e-06,0.0001654201509948115,0.890404029761083,0.8602750212418038,87.60787021056265,83.7671736742856,70.87227414330218,NONE,tpe,2987
25,28,168.78151201872325,16.878151201872324,2.779948676879195e-06,0.0002198447605161866,0.9186483612827074,0.8481491575420428,86.50327925440111,84.08824971852098,71.80685358255452,NONE,tpe,3060
26,10,86.4482564330846,8.64482564330846,4.39503265430787e-05,0.00011060864251643007,1.449833084340595,0.8713267710854962,89.7134967207456,84.7297628668725,64.64174454828661,NONE,tpe,3058
27,4,47.00558382312973,4.700558382312973,0.0001535952276057179,0.00011885628040775514,1.493973695834707,0.8347768408227392,88.79875733517432,82.24808490650753,54.20560747663551,NONE,tpe,3007
28,18,78.10112021785967,7.810112021785968,4.8455416589382134e-05,0.0002951436468549698,1.5124410824119436,0.8703668820238228,88.88505350362443,86.53737627010935,73.5202492211838,NONE,tpe,3051
29,16,17.12632581886678,1.7126325818866779,4.669587505676553e-05,0.00034995257259087575,1.5522075773413708,0.8241779822691055,84.12150500517777,80.44138674181983,56.38629283489096,NONE,tpe,3072
30,52,78.07050969891601,7.807050969891602,0.00014834884958601376,0.0007124318279937673,2.1686125116350947,0.8610946342401846,88.48809112875388,85.25177694427751,68.53582554517133,NONE,tpe,3019
31,59,78.6728225244412,7.86728225244412,0.00019750281274859006,0.0007201545401778933,2.0188018806269405,0.8236689805537297,86.08905764584053,82.79156391818803,62.616822429906534,NONE,tpe,3063
32,7,45.28845212928716,4.528845212928716,9.7758300715259e-05,0.001993054749071495,2.386964635511651,0.8541128941757379,88.0048325854332,85.35917069026256,70.09345794392523,NONE,tpe,3042
33,53,102.43561206320514,10.243561206320514,0.00037221182794577027,5.1679561660113165e-05,1.375215257789097,0.6536984786058964,71.74663444943045,65.38952898025157,19.314641744548286,NONE,tpe,3051
34,24,37.63776343553456,3.763776343553456,5.1200811431534e-05,0.0002864349146234424,1.7547534949065895,0.8383398528303702,86.52053848809113,83.3194147999254,63.862928348909655,NONE,tpe,3084
35,70,76.79677455414202,7.679677455414202,0.00011612956069353419,0.003236789250479495,2.996492606031912,0.8201921381278356,86.22713151536072,82.46244068218083,60.90342679127726,NONE,tpe,3087
36,10,152.81158856595576,15.281158856595576,0.00029580725098823067,0.0005862714554774626,1.2794834990908606,0.8192863555477179,87.5733517431826,81.07098452038046,53.426791277258566,NONE,tpe,3041
37,32,12.79639188529001,1.279639188529001,0.0009307586748345432,0.00025330058138183366,1.7448630824835998,0.7319725219231448,73.61063168795306,73.10478272582216,48.647450110864746,NONE,tpe,3092
38,2,36.5525693244365,3.65525693244365,3.4766957169755327e-05,0.00010877097271741309,2.4018240886632287,0.8096193308430992,85.70935450466,79.67866492598657,50.62305295950156,NONE,tpe,3101
39,84,68.53190811258156,6.853190811258156,6.376723048246593e-05,0.004998139249933349,0.8835105906732543,0.8794687945877486,89.93786675871591,87.71502925309626,77.10280373831776,NONE,tpe,3050
40,94,63.77156012280877,6.377156012280878,6.3718078029327e-05,0.004061884890327751,0.8239951958815664,0.872655385799253,90.81808767690714,86.30278163444336,68.22429906542055,NONE,tpe,3115
41,89,62.310104746091014,6.231010474609102,7.182841114332626e-05,0.005497419224430924,0.778734754325715,0.8783385703063629,88.81601656886434,87.24509742973385,76.94704049844236,NONE,tpe,3044
42,87,19.865377397093713,1.9865377397093713,4.575049784320174e-05,0.006353466963263209,0.8292006161959505,0.8180459143594594,81.17017604418363,81.49815916171056,63.81374722838138,NONE,tpe,3140
43,110,62.28212908230616,6.228212908230617,6.51034711690121e-05,0.00528776044357817,0.6250860509940436,0.8738717796623756,89.43734898170521,86.91999778961257,73.98753894080997,NONE,tpe,3064
44,108,59.98960391373057,5.998960391373057,6.711805728077878e-05,0.005159039675113448,0.6594590685421682,0.8681044295172899,90.2140144977563,86.24900705251743,69.1588785046729,NONE,tpe,3069
45,132,58.11303514766247,5.811303514766248,0.00011733453563522881,0.00294141980221627,0.8087084368503678,0.8704229924491399,89.28201587849499,86.7645108481671,72.42990654205607,NONE,tpe,3123
46,153,31.97473994482138,3.197473994482138,2.914449142209747e-05,0.0037496276016924603,0.5834872958579317,0.8277409942767366,82.06765619606489,82.07465583576821,66.29711751662971,NONE,tpe,3117
47,96,9.461079564099366,0.9461079564099366,3.780946261263711e-05,0.009160362288202778,0.950617277074413,0.7861331099604021,77.47670003451847,78.7635472573927,55.210643015521065,NONE,tpe,3088
48,107,49.124342866699244,4.912434286669924,1.8253910556029705e-05,0.002091085913828035,0.5012665486276019,0.8321496705516456,84.82913358646876,82.37221197615544,65.10903426791276,NONE,tpe,3096
49,193,25.520138644532636,2.5520138644532637,6.332099309219959e-05,0.004912540385660088,0.39813085044319885,0.8267791012713019,84.46668967897826,82.64077405005146,65.42056074766354,NONE,tpe,3104
