seed,clip_model,class_names,num_templates,val_n,val_acc,val_balanced_group_acc,val_worst_group_acc,val_group_accs,val_class_accs,test_n,test_acc,test_balanced_group_acc,test_worst_group_acc,test_group_accs,test_class_accs,seconds
0,RN50,landbird|waterbird,8,1199,79.06588824020017,73.64037489418476,41.7910447761194,"[98.4946,68.4549,41.791 ,85.8209]","[83.4586,63.806 ]",5794,78.80566102865033,73.34998031373686,43.769470404984425,"[98.0044,68.2927,43.7695,83.3333]","[83.1486,63.5514]",49
1,RN50,landbird|waterbird,8,1199,79.06588824020017,73.64037489418476,41.7910447761194,"[98.4946,68.4549,41.791 ,85.8209]","[83.4586,63.806 ]",5794,78.80566102865033,73.34998031373686,43.769470404984425,"[98.0044,68.2927,43.7695,83.3333]","[83.1486,63.5514]",49
2,RN50,landbird|waterbird,8,1199,79.06588824020017,73.64037489418476,41.7910447761194,"[98.4946,68.4549,41.791 ,85.8209]","[83.4586,63.806 ]",5794,78.80566102865033,73.34998031373686,43.769470404984425,"[98.0044,68.2927,43.7695,83.3333]","[83.1486,63.5514]",49
3,RN50,landbird|waterbird,8,1199,79.06588824020017,73.64037489418476,41.7910447761194,"[98.4946,68.4549,41.791 ,85.8209]","[83.4586,63.806 ]",5794,78.80566102865033,73.34998031373686,43.769470404984425,"[98.0044,68.2927,43.7695,83.3333]","[83.1486,63.5514]",49
4,RN50,landbird|waterbird,8,1199,79.06588824020017,73.64037489418476,41.7910447761194,"[98.4946,68.4549,41.791 ,85.8209]","[83.4586,63.806 ]",5794,78.80566102865033,73.34998031373686,43.769470404984425,"[98.0044,68.2927,43.7695,83.3333]","[83.1486,63.5514]",49
