trial,name,method,seed,base_lr,classifier_lr,grad_weight,cam_weight,abn_cls_weight,abn_att_weight,weight_decay,best_balanced_val_acc,test_acc,balanced_test_acc,per_group,worst_group,checkpoint,log_path,seconds,sampler,run_dir
0,gradcam_waterbird_complete95_forest2water2_21049290_trial_000,gradcam,0,0.00060040629856564,0.0006054407526248725,,1.2154089247129107,,,4.293019268162863e-06,0.8146068547574725,84.63928201587849,82.97447347880447,82.97447347880447,65.73208722741433,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_000/best_balanced_valacc_0.81_epoch_13.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam95_vit_sweep_logs_21049290/gradcam_waterbird_complete95_forest2water2_21049290_trial_000.log,3210,tpe,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_000
1,gradcam_waterbird_complete95_forest2water2_21049290_trial_001,gradcam,0,7.877460137655649e-05,0.0009223637255455154,,0.57149550935835,,,8.097432039972277e-06,0.8170063422221148,86.29616845012082,84.70727908213662,84.70727908213662,69.31464174454828,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_001/best_balanced_valacc_0.82_epoch_106.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam95_vit_sweep_logs_21049290/gradcam_waterbird_complete95_forest2water2_21049290_trial_001.log,3179,tpe,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_001
2,gradcam_waterbird_complete95_forest2water2_21049290_trial_002,gradcam,0,3.570888933641381e-06,0.001042450419022459,,0.16088623570164337,,,8.511853407460825e-05,0.8014570187526695,82.70624784259579,80.34007156129336,80.34007156129336,58.87850467289719,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_002/best_balanced_valacc_0.8_epoch_192.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam95_vit_sweep_logs_21049290/gradcam_waterbird_complete95_forest2water2_21049290_trial_002.log,3179,tpe,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_002
3,gradcam_waterbird_complete95_forest2water2_21049290_trial_003,gradcam,0,0.0003526872740434198,0.0034051236333691517,,2.8413900199976583,,,0.00020977901482826643,0.8242531570082763,86.10631687953055,84.25107583701156,84.25107583701156,67.91277258566979,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_003/best_balanced_valacc_0.82_epoch_13.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam95_vit_sweep_logs_21049290/gradcam_waterbird_complete95_forest2water2_21049290_trial_003.log,3147,tpe,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_003
4,gradcam_waterbird_complete95_forest2water2_21049290_trial_004,gradcam,0,0.00022511999769994975,0.0001206774275319432,,1.7900635661317488,,,0.00020950175794128237,0.8025207713818308,84.86365205384881,83.03503464091565,83.03503464091565,65.10903426791276,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_004/best_balanced_valacc_0.8_epoch_92.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam95_vit_sweep_logs_21049290/gradcam_waterbird_complete95_forest2water2_21049290_trial_004.log,3136,tpe,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_004
5,gradcam_waterbird_complete95_forest2water2_21049290_trial_005,gradcam,0,0.00029739356999674654,0.0025169822648471044,,8.889679538403504,,,1.335952545661143e-06,0.7936340046257122,85.69209527096997,81.9237796243723,81.9237796243723,58.09968847352025,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_005/best_balanced_valacc_0.79_epoch_13.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam95_vit_sweep_logs_21049290/gradcam_waterbird_complete95_forest2water2_21049290_trial_005.log,3146,tpe,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_005
6,gradcam_waterbird_complete95_forest2water2_21049290_trial_006,gradcam,0,2.215378400464253e-06,1.4645297265263098e-05,,1.649165166680075,,,0.0004915146748779932,0.6776849680471275,76.47566448049706,68.65005767729726,68.65005767729726,22.118380062305295,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_006/best_balanced_valacc_0.68_epoch_196.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam95_vit_sweep_logs_21049290/gradcam_waterbird_complete95_forest2water2_21049290_trial_006.log,3163,tpe,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_006
7,gradcam_waterbird_complete95_forest2water2_21049290_trial_007,gradcam,0,0.00032410852693586314,3.2679779359738275e-05,,29.850379013937825,,,2.9264911553578293e-05,0.7552563079725036,82.9996548153262,77.88237975837701,77.88237975837701,45.482866043613704,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_007/best_balanced_valacc_0.76_epoch_44.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam95_vit_sweep_logs_21049290/gradcam_waterbird_complete95_forest2water2_21049290_trial_007.log,3158,tpe,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_007
8,gradcam_waterbird_complete95_forest2water2_21049290_trial_008,gradcam,0,5.027384860532675e-05,0.007091852691643495,,1.9328673731244204,,,9.175293456385671e-05,0.8288204433914368,86.65861235761132,85.07936672399859,85.07936672399859,70.7165109034268,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_008/best_balanced_valacc_0.83_epoch_92.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam95_vit_sweep_logs_21049290/gradcam_waterbird_complete95_forest2water2_21049290_trial_008.log,3132,tpe,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_008
9,gradcam_waterbird_complete95_forest2water2_21049290_trial_009,gradcam,0,1.3982400898007477e-06,0.0017703133479174968,,0.15621936170297854,,,0.0004892875050049677,0.7891070119027472,82.18847083189506,79.03257558488923,79.03257558488923,53.89408099688473,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_009/best_balanced_valacc_0.79_epoch_140.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam95_vit_sweep_logs_21049290/gradcam_waterbird_complete95_forest2water2_21049290_trial_009.log,3126,tpe,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_009
10,gradcam_waterbird_complete95_forest2water2_21049290_trial_010,gradcam,0,1.4295236801732871e-05,0.009973775517794463,,91.85304991215659,,,3.145955810590875e-05,0.77698063486691,84.79461511908872,78.84039275821814,78.84039275821814,47.66355140186916,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_010/best_balanced_valacc_0.78_epoch_128.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam95_vit_sweep_logs_21049290/gradcam_waterbird_complete95_forest2water2_21049290_trial_010.log,3158,tpe,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_trial_010
