seed,clip_model,class_names,num_templates,val_n,val_acc,val_balanced_group_acc,val_worst_group_acc,val_group_accs,val_class_accs,test_n,test_acc,test_balanced_group_acc,test_worst_group_acc,test_group_accs,test_class_accs,seconds
0,RN50,landbird|waterbird,8,1199,78.73227689741451,73.42576332432114,37.59398496240601,"[98.2869,67.5966,37.594 ,90.2256]","[82.9582,63.9098]",5794,78.68484639282016,73.69019002424518,44.0809968847352,"[97.4279,67.8936,44.081 ,85.3583]","[82.6608,64.7196]",46
1,RN50,landbird|waterbird,8,1199,78.73227689741451,73.42576332432114,37.59398496240601,"[98.2869,67.5966,37.594 ,90.2256]","[82.9582,63.9098]",5794,78.68484639282016,73.69019002424518,44.0809968847352,"[97.4279,67.8936,44.081 ,85.3583]","[82.6608,64.7196]",46
2,RN50,landbird|waterbird,8,1199,78.73227689741451,73.42576332432114,37.59398496240601,"[98.2869,67.5966,37.594 ,90.2256]","[82.9582,63.9098]",5794,78.68484639282016,73.69019002424518,44.0809968847352,"[97.4279,67.8936,44.081 ,85.3583]","[82.6608,64.7196]",46
3,RN50,landbird|waterbird,8,1199,78.73227689741451,73.42576332432114,37.59398496240601,"[98.2869,67.5966,37.594 ,90.2256]","[82.9582,63.9098]",5794,78.68484639282016,73.69019002424518,44.0809968847352,"[97.4279,67.8936,44.081 ,85.3583]","[82.6608,64.7196]",46
4,RN50,landbird|waterbird,8,1199,78.73227689741451,73.42576332432114,37.59398496240601,"[98.2869,67.5966,37.594 ,90.2256]","[82.9582,63.9098]",5794,78.68484639282016,73.69019002424518,44.0809968847352,"[97.4279,67.8936,44.081 ,85.3583]","[82.6608,64.7196]",46
