seed,name,method,base_lr,classifier_lr,grad_weight,cam_weight,abn_cls_weight,abn_att_weight,weight_decay,best_balanced_val_acc,test_acc,balanced_test_acc,per_group,worst_group,checkpoint,log_path,seconds,run_dir,sweep_best_trial
0,gradcam_waterbird_complete95_forest2water2_21049290_best_seed0,gradcam,5.398357251175745e-05,0.006776663988659939,,0.2330971737869278,,,2.9124407106640273e-05,0.832035877475038,86.60683465654125,84.65614660394692,84.65614660394692,68.69158878504673,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_best_seed0/best_balanced_valacc_0.83_epoch_178.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam95_vit_sweep_logs_21049290_best_seeds/gradcam_waterbird_complete95_forest2water2_21049290_best_seed0.log,3225,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_best_seed0,46
1,gradcam_waterbird_complete95_forest2water2_21049290_best_seed1,gradcam,5.398357251175745e-05,0.006776663988659939,,0.2330971737869278,,,2.9124407106640273e-05,0.8349873880843588,86.77942699344149,84.73915701349027,84.73915701349027,68.22429906542055,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_best_seed1/best_balanced_valacc_0.83_epoch_198.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam95_vit_sweep_logs_21049290_best_seeds/gradcam_waterbird_complete95_forest2water2_21049290_best_seed1.log,3177,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_best_seed1,46
2,gradcam_waterbird_complete95_forest2water2_21049290_best_seed2,gradcam,5.398357251175745e-05,0.006776663988659939,,0.2330971737869278,,,2.9124407106640273e-05,0.8325717831556383,86.69313082499137,84.57230729911377,84.57230729911377,67.91277258566979,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_best_seed2/best_balanced_valacc_0.83_epoch_199.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam95_vit_sweep_logs_21049290_best_seeds/gradcam_waterbird_complete95_forest2water2_21049290_best_seed2.log,3232,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_best_seed2,46
3,gradcam_waterbird_complete95_forest2water2_21049290_best_seed3,gradcam,5.398357251175745e-05,0.006776663988659939,,0.2330971737869278,,,2.9124407106640273e-05,0.8323078596813578,86.36520538488092,84.61235330280236,84.61235330280236,69.00311526479751,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_best_seed3/best_balanced_valacc_0.83_epoch_187.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam95_vit_sweep_logs_21049290_best_seeds/gradcam_waterbird_complete95_forest2water2_21049290_best_seed3.log,3222,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_best_seed3,46
4,gradcam_waterbird_complete95_forest2water2_21049290_best_seed4,gradcam,5.398357251175745e-05,0.006776663988659939,,0.2330971737869278,,,2.9124407106640273e-05,0.830700142639557,86.24439074905074,84.78543700050425,84.78543700050425,69.93769470404985,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_best_seed4/best_balanced_valacc_0.83_epoch_181.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam95_vit_sweep_logs_21049290_best_seeds/gradcam_waterbird_complete95_forest2water2_21049290_best_seed4.log,3205,trained_weights/waterbirds/gradcam_waterbird_complete95_forest2water2_21049290_best_seed4,46
